household,article_aligned,pv_mode,event_mode,grid,qe,qp,label,E_kWh,P_kW,g_pp,rho_pct,rho_pv_pct,dispatch_violation,is_pareto,is_frozen
id04,True,native,event_window,5x5,0.75,0.5,E75-P50,7.429,1.471,2.92094610283,3.39513487305,0.47418877022,1.11022302463e-16,True,False
id04,True,native,event_window,5x5,0.75,0.75,E75-P75,7.429,2.123,2.9337314871,3.40792025732,0.47418877022,1.11022302463e-16,True,False
id04,True,native,event_window,5x5,0.75,0.9,E75-P90,7.429,3.518,2.9337314871,3.40792025732,0.47418877022,1.11022302463e-16,False,False
id04,True,native,event_window,5x5,0.75,0.95,E75-P95,7.429,3.74,2.9337314871,3.40792025732,0.47418877022,1.11022302463e-16,False,False
id04,True,native,event_window,5x5,0.9,0.25,E90-P25,11.329,0.023,0.148929103188,0.623117873408,0.47418877022,8.67361737988e-19,False,False
id04,True,native,event_window,5x5,0.9,0.5,E90-P50,11.329,1.471,2.92094610283,3.39513487305,0.47418877022,1.11022302463e-16,False,False
id04,True,native,event_window,5x5,0.9,0.75,E90-P75,11.329,2.123,2.9337314871,3.40792025732,0.47418877022,1.11022302463e-16,False,False
id04,True,native,event_window,5x5,0.9,0.9,E90-P90,11.329,3.518,2.9337314871,3.40792025732,0.47418877022,1.11022302463e-16,False,False
id04,True,native,event_window,5x5,0.9,0.95,E90-P95,11.329,3.74,2.9337314871,3.40792025732,0.47418877022,1.11022302463e-16,False,False
id04,True,native,event_window,5x5,0.95,0.25,E95-P25,12.13,0.023,0.148929103188,0.623117873408,0.47418877022,8.67361737988e-19,False,False
id04,True,native,event_window,5x5,0.95,0.5,E95-P50,12.13,1.471,2.92094610283,3.39513487305,0.47418877022,1.11022302463e-16,False,False
id04,True,native,event_window,5x5,0.95,0.75,E95-P75,12.13,2.123,2.9337314871,3.40792025732,0.47418877022,1.11022302463e-16,False,False
id04,True,native,event_window,5x5,0.95,0.9,E95-P90,12.13,3.518,2.9337314871,3.40792025732,0.47418877022,1.11022302463e-16,False,False
id04,True,native,event_window,5x5,0.95,0.95,E95-P95,12.13,3.74,2.9337314871,3.40792025732,0.47418877022,1.11022302463e-16,False,False
id01,False,native,event_window,3x3,0.5,0.5,E50-P50,3.093,1.424,0.879836209751,1.92374775634,1.04391154659,0,True,True
id01,False,native,event_window,3x3,0.5,0.75,E50-P75,3.093,2,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,3x3,0.5,0.9,E50-P90,3.093,4.308,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,3x3,0.75,0.5,E75-P50,6.091,1.424,0.879836209751,1.92374775634,1.04391154659,0,False,True
id01,False,native,event_window,3x3,0.75,0.75,E75-P75,6.091,2,0.879836209751,1.92374775634,1.04391154659,0,False,True
id01,False,native,event_window,3x3,0.75,0.9,E75-P90,6.091,4.308,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,3x3,0.9,0.5,E90-P50,8.182,1.424,0.879836209751,1.92374775634,1.04391154659,0,False,True
id01,False,native,event_window,3x3,0.9,0.75,E90-P75,8.182,2,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,3x3,0.9,0.9,E90-P90,8.182,4.308,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.25,0.25,E25-P25,0.76,0.312,0.673026717115,1.7169382637,1.04391154659,0,True,True
id01,False,native,event_window,5x5,0.25,0.5,E25-P50,0.76,1.424,0.744714455743,1.78862600233,1.04391154659,0,True,False
id01,False,native,event_window,5x5,0.25,0.75,E25-P75,0.76,2,0.744714455743,1.78862600233,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.25,0.9,E25-P90,0.76,4.308,0.744714455743,1.78862600233,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.25,0.95,E25-P95,0.76,5.393,0.744714455743,1.78862600233,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.5,0.25,E50-P25,3.093,0.312,0.680228632303,1.72414017889,1.04391154659,0,True,True
id01,False,native,event_window,5x5,0.5,0.5,E50-P50,3.093,1.424,0.879836209751,1.92374775634,1.04391154659,0,True,False
id01,False,native,event_window,5x5,0.5,0.75,E50-P75,3.093,2,0.879836209751,1.92374775634,1.04391154659,0,False,True
id01,False,native,event_window,5x5,0.5,0.9,E50-P90,3.093,4.308,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.5,0.95,E50-P95,3.093,5.393,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.75,0.25,E75-P25,6.091,0.312,0.680228632303,1.72414017889,1.04391154659,0,False,True
id01,False,native,event_window,5x5,0.75,0.5,E75-P50,6.091,1.424,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.75,0.75,E75-P75,6.091,2,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.75,0.9,E75-P90,6.091,4.308,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.75,0.95,E75-P95,6.091,5.393,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.9,0.25,E90-P25,8.182,0.312,0.680228632303,1.72414017889,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.9,0.5,E90-P50,8.182,1.424,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.9,0.75,E90-P75,8.182,2,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.9,0.9,E90-P90,8.182,4.308,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.9,0.95,E90-P95,8.182,5.393,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.95,0.25,E95-P25,10.208,0.312,0.680228632303,1.72414017889,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.95,0.5,E95-P50,10.208,1.424,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.95,0.75,E95-P75,10.208,2,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.95,0.9,E95-P90,10.208,4.308,0.879836209751,1.92374775634,1.04391154659,0,False,False
id01,False,native,event_window,5x5,0.95,0.95,E95-P95,10.208,5.393,0.879836209751,1.92374775634,1.04391154659,0,False,False
id02,False,native,event_window,3x3,0.5,0.5,E50-P50,1.955,0.896,1.26354283103,1.73740771686,0.473864885831,0,True,True
id02,False,native,event_window,3x3,0.5,0.75,E50-P75,1.955,2.264,1.47315316415,1.94701804998,0.473864885831,0,True,False
id02,False,native,event_window,3x3,0.5,0.9,E50-P90,1.955,4.35,1.482306719,1.95617160483,0.473864885831,0,True,False
id02,False,native,event_window,3x3,0.75,0.5,E75-P50,5.079,0.896,1.42970511764,1.90357000347,0.473864885831,0,True,True
id02,False,native,event_window,3x3,0.75,0.75,E75-P75,5.079,2.264,1.8693174407,2.34318232653,0.473864885831,0,True,True
id02,False,native,event_window,3x3,0.75,0.9,E75-P90,5.079,4.35,1.90380836385,2.37767324968,0.473864885831,0,True,False
id02,False,native,event_window,3x3,0.9,0.5,E90-P50,7.048,0.896,1.42970511764,1.90357000347,0.473864885831,0,False,True
id02,False,native,event_window,3x3,0.9,0.75,E90-P75,7.048,2.264,1.8693174407,2.34318232653,0.473864885831,0,False,False
id02,False,native,event_window,3x3,0.9,0.9,E90-P90,7.048,4.35,1.90380836385,2.37767324968,0.473864885831,0,False,False
id02,False,native,event_window,5x5,0.25,0.25,E25-P25,0,0,0,0.473864885831,0.473864885831,0,False,True
id02,False,native,event_window,5x5,0.25,0.5,E25-P50,0,0.896,0,0.473864885831,0.473864885831,0,False,False
id02,False,native,event_window,5x5,0.25,0.75,E25-P75,0,2.264,0,0.473864885831,0.473864885831,0,False,False
id02,False,native,event_window,5x5,0.25,0.9,E25-P90,0,4.35,0,0.473864885831,0.473864885831,0,False,False
