household,article_aligned,pv_mode,raw_charging_events,generic_valid_events,article_aligned_events,nonpositive_or_missing_energy,energy_gt_64_kwh,active_power_gt_7p4_kw,max_energy_kwh,max_active_avg_kw,max_reconstruction_residual_kwh,pv_rows,pv_missing_raw,pv_negative_raw,pv_above_1p05_kwh_raw,pv_min_raw_kwh,pv_max_raw_kwh,pv_missing_after_article_alignment,active_days,cal_days,hold_days,admitted_energy_kwh,event_mode,pv_scale,grid,axis,quantile,value,unit
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,3x3,P,0.5,0.646,kW
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,3x3,P,0.75,1.513,kW
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,3x3,P,0.9,3.947,kW
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,5x5,E,0.25,0,kWh
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,5x5,E,0.5,1.408,kWh
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,5x5,E,0.75,4.622,kWh
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,5x5,E,0.9,8.639,kWh
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,5x5,E,0.95,9.79,kWh
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,5x5,P,0.25,0,kW
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,5x5,P,0.5,0.646,kW
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,5x5,P,0.75,1.513,kW
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,5x5,P,0.9,3.947,kW
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,5x5,P,0.95,4.656,kW
id04,True,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,3x3,E,0.5,3.327,kWh
id04,True,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,3x3,E,0.75,7.429,kWh
